AuditID,FamilyID,FamilyRole,AddendumFigure,UpstreamInputs,RequiredObjectID,RequiredColumns,WhyRequired,AvailableInRepo,AvailableInArxivSourcePackage,FigureDigitizationAllowed,ProvisionalBAOOnlyFallbackAvailable,BlocksSourceNativeScoring,MeasurementValidationAllowed,NextAction,ClaimBoundary
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_CRITERIA_3,selection_criteria_family,QR_criteria3.pdf,"criteria set 3 H_D,H_D_prime plus reconstructed D,D_prime,D_double_prime",RECONSTRUCTION_VECTOR_MEDIAN,"z,D,D_prime,D_double_prime,H_D,H_D_prime",computes Omega_R_plus_3Omega_Q with the published formula,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_CRITERIA_3,selection_criteria_family,QR_criteria3.pdf,"criteria set 3 H_D,H_D_prime plus reconstructed D,D_prime,D_double_prime",RECONSTRUCTION_BOOTSTRAP_SAMPLES,"sample_id,z,D,D_prime,D_double_prime,H_D,H_D_prime",propagates non-Gaussian uncertainty and percentile bands without figure digitization,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_CRITERIA_3,selection_criteria_family,QR_criteria3.pdf,"criteria set 3 H_D,H_D_prime plus reconstructed D,D_prime,D_double_prime",RECONSTRUCTION_COVARIANCE,"row-wise covariance for D,D_prime,D_double_prime,H_D,H_D_prime",allows covariance-aware K2/backreaction bridge scoring,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_CRITERIA_3,selection_criteria_family,QR_criteria3.pdf,"criteria set 3 H_D,H_D_prime plus reconstructed D,D_prime,D_double_prime",SELECTION_METADATA,"criteria_set,data_combination,algorithm,expression_id,selection_rule",separates criteria-set sensitivity from data-combination sensitivity,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_CRITERIA_3,selection_criteria_family,QR_criteria3.pdf,"criteria set 3 H_D,H_D_prime plus reconstructed D,D_prime,D_double_prime",GRID_AND_UNITS_METADATA,"redshift_grid,D_definition,H_D_units,normalization",prevents convention mismatch in the bridge to the locked K2 diagnostic vector,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_DESI,data_combination_family,QR_DESI.pdf,DESI-dominated symbolic-regression family,RECONSTRUCTION_VECTOR_MEDIAN,"z,D,D_prime,D_double_prime,H_D,H_D_prime",computes Omega_R_plus_3Omega_Q with the published formula,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_DESI,data_combination_family,QR_DESI.pdf,DESI-dominated symbolic-regression family,RECONSTRUCTION_BOOTSTRAP_SAMPLES,"sample_id,z,D,D_prime,D_double_prime,H_D,H_D_prime",propagates non-Gaussian uncertainty and percentile bands without figure digitization,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_DESI,data_combination_family,QR_DESI.pdf,DESI-dominated symbolic-regression family,RECONSTRUCTION_COVARIANCE,"row-wise covariance for D,D_prime,D_double_prime,H_D,H_D_prime",allows covariance-aware K2/backreaction bridge scoring,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_DESI,data_combination_family,QR_DESI.pdf,DESI-dominated symbolic-regression family,SELECTION_METADATA,"criteria_set,data_combination,algorithm,expression_id,selection_rule",separates criteria-set sensitivity from data-combination sensitivity,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_DESI,data_combination_family,QR_DESI.pdf,DESI-dominated symbolic-regression family,GRID_AND_UNITS_METADATA,"redshift_grid,D_definition,H_D_units,normalization",prevents convention mismatch in the bridge to the locked K2 diagnostic vector,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_EBOSS,data_combination_family,QR_eBOSS.pdf,eBOSS/BOSS-dominated symbolic-regression family,RECONSTRUCTION_VECTOR_MEDIAN,"z,D,D_prime,D_double_prime,H_D,H_D_prime",computes Omega_R_plus_3Omega_Q with the published formula,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_EBOSS,data_combination_family,QR_eBOSS.pdf,eBOSS/BOSS-dominated symbolic-regression family,RECONSTRUCTION_BOOTSTRAP_SAMPLES,"sample_id,z,D,D_prime,D_double_prime,H_D,H_D_prime",propagates non-Gaussian uncertainty and percentile bands without figure digitization,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_EBOSS,data_combination_family,QR_eBOSS.pdf,eBOSS/BOSS-dominated symbolic-regression family,RECONSTRUCTION_COVARIANCE,"row-wise covariance for D,D_prime,D_double_prime,H_D,H_D_prime",allows covariance-aware K2/backreaction bridge scoring,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_EBOSS,data_combination_family,QR_eBOSS.pdf,eBOSS/BOSS-dominated symbolic-regression family,SELECTION_METADATA,"criteria_set,data_combination,algorithm,expression_id,selection_rule",separates criteria-set sensitivity from data-combination sensitivity,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
SOURCE_NATIVE_BACKREACTION_UPGRADE_MATRIX_V1,QR_EBOSS,data_combination_family,QR_eBOSS.pdf,eBOSS/BOSS-dominated symbolic-regression family,GRID_AND_UNITS_METADATA,"redshift_grid,D_definition,H_D_units,normalization",prevents convention mismatch in the bridge to the locked K2 diagnostic vector,False,False,False,True,True,False,obtain from authors or reproduce upstream symbolic-regression bootstrap pipeline,source_native_backreaction_upgrade_no_measurement_validation
